+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                      ;
+--------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; inst_qsys|mm_interconnect_0|sdram_s1_burst_adapter                                                                                         ; 91    ; 0              ; 0            ; 0              ; 89     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|mm_interconnect_0|router_001|the_default_decode                                                                                  ; 0     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|mm_interconnect_0|router_001                                                                                                     ; 90    ; 0              ; 2            ; 0              ; 89     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|mm_interconnect_0|router|the_default_decode                                                                                      ; 0     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|mm_interconnect_0|router                                                                                                         ; 108   ; 2              ; 3            ; 2              ; 107    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|mm_interconnect_0|sdram_s1_agent_rdata_fifo                                                                                      ; 63    ; 41             ; 0            ; 41             ; 20     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|mm_interconnect_0|sdram_s1_agent_rsp_fifo                                                                                        ; 130   ; 39             ; 0            ; 39             ; 89     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|mm_interconnect_0|sdram_s1_agent|uncompressor                                                                                    ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|mm_interconnect_0|sdram_s1_agent                                                                                                 ; 222   ; 22             ; 22           ; 22             ; 253    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|mm_interconnect_0|wb_avm_bridge_m0_agent                                                                                         ; 184   ; 31             ; 75           ; 31             ; 140    ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|mm_interconnect_0|sdram_s1_translator                                                                                            ; 80    ; 4              ; 7            ; 4              ; 64     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|mm_interconnect_0|wb_avm_bridge_m0_translator                                                                                    ; 116   ; 12             ; 1            ; 12             ; 108    ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|mm_interconnect_0                                                                                                                ; 91    ; 0              ; 0            ; 0              ; 79     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|wb_avm_bridge                                                                                                                    ; 106   ; 0              ; 2            ; 0              ; 104    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|sdram|the_qsys_core_sdram_input_efifo_module                                                                                     ; 48    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys|sdram                                                                                                                            ; 48    ; 1              ; 1            ; 1              ; 40     ; 1               ; 1             ; 1               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; inst_qsys                                                                                                                                  ; 68    ; 0              ; 0            ; 0              ; 55     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; inst_wb_av_master                                                                                                                          ; 101   ; 2              ; 2            ; 2              ; 99     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_wb_intercon                                                                                                                           ; 106   ; 0              ; 3            ; 0              ; 99     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\neorv32_neorv32_ocd_inst_true:neorv32_debug_dm_inst                                                                      ; 117   ; 1              ; 29           ; 1              ; 69     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\neorv32_neorv32_ocd_inst_true:neorv32_debug_dtm_inst                                                                     ; 39    ; 0              ; 0            ; 0              ; 42     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\io_system:neorv32_sysinfo_inst                                                                                           ; 74    ; 1              ; 70           ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\io_system:neorv32_uart0_inst_true:neorv32_uart0_inst|rx_engine_fifo_inst                                                 ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\io_system:neorv32_uart0_inst_true:neorv32_uart0_inst|tx_engine_fifo_inst                                                 ; 13    ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\io_system:neorv32_uart0_inst_true:neorv32_uart0_inst                                                                     ; 85    ; 1              ; 49           ; 1              ; 39     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\io_system:neorv32_mtime_inst_true:neorv32_mtime_inst                                                                     ; 75    ; 1              ; 37           ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\io_system:neorv32_gpio_inst_true:neorv32_gpio_inst                                                                       ; 139   ; 57             ; 117          ; 57             ; 98     ; 57              ; 57            ; 57              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\io_system:neorv32_bus_io_switch_inst                                                                                     ; 787   ; 1712           ; 0            ; 1712           ; 1567   ; 1712            ; 1712          ; 1712            ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\memory_system:neorv32_wishbone_inst_true:neorv32_wishbone_inst                                                           ; 109   ; 1              ; 1            ; 1              ; 108    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\memory_system:neorv32_boot_rom_inst_true:neorv32_boot_rom_inst                                                           ; 74    ; 1              ; 62           ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\memory_system:neorv32_int_dmem_inst_true:neorv32_int_dmem_inst                                                           ; 74    ; 1              ; 21           ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\memory_system:neorv32_int_imem_inst_true:neorv32_int_imem_inst                                                           ; 74    ; 1              ; 20           ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|neorv32_bus_gateway_inst                                                                                                  ; 279   ; 107            ; 0            ; 107            ; 472    ; 107             ; 107           ; 107             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_core_bus_switch_inst                                                                                ; 182   ; 0              ; 36           ; 0              ; 141    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_cpu_inst|neorv32_cpu_lsu_inst                                                                       ; 170   ; 3              ; 60           ; 3              ; 142    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_cpu_inst|neorv32_cpu_alu_inst|\neorv32_cpu_cp_muldiv_inst_true:neorv32_cpu_cp_muldiv_inst           ; 135   ; 0              ; 64           ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_cpu_inst|neorv32_cpu_alu_inst|neorv32_cpu_cp_shifter_inst                                           ; 108   ; 0              ; 65           ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_cpu_inst|neorv32_cpu_alu_inst                                                                       ; 307   ; 32             ; 109          ; 32             ; 99     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_cpu_inst|neorv32_cpu_regfile_inst|reg_file[0][31]__2|auto_generated                                 ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_cpu_inst|neorv32_cpu_regfile_inst|reg_file[0][31]__1|auto_generated                                 ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_cpu_inst|neorv32_cpu_regfile_inst                                                                   ; 197   ; 0              ; 49           ; 0              ; 128    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_cpu_inst|neorv32_cpu_control_inst|\neorv32_cpu_decompressor_inst_true:neorv32_cpu_decompressor_inst ; 16    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_cpu_inst|neorv32_cpu_control_inst|\prefetch_buffer:1:prefetch_buffer_inst                           ; 23    ; 3              ; 0            ; 3              ; 21     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_cpu_inst|neorv32_cpu_control_inst|\prefetch_buffer:0:prefetch_buffer_inst                           ; 23    ; 3              ; 0            ; 3              ; 21     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_cpu_inst|neorv32_cpu_control_inst                                                                   ; 193   ; 76             ; 1            ; 76             ; 346    ; 76              ; 76            ; 76              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst|\core_complex:neorv32_cpu_inst                                                                                            ; 90    ; 15             ; 0            ; 15             ; 150    ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; neorv32_top_inst                                                                                                                           ; 217   ; 203            ; 68           ; 203            ; 241    ; 203             ; 203           ; 203             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_pll_sys|pll_sys_inst                                                                                                                  ; 2     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; inst_pll_sys                                                                                                                               ; 2     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+--------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
